Year,Units,display,age,Bundesland,Kreis,GeoCode,Value
2017,percentage (%),a) time series,0- to 2-year-olds,hb,,code04,14.0
2018,percentage (%),a) time series,0- to 2-year-olds,hb,,code04,14.2
2019,percentage (%),a) time series,0- to 2-year-olds,hb,,code04,13.9
2020,percentage (%),a) time series,0- to 2-year-olds,hb,,code04,14.5
2006,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,8.9
2007,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,9.9
2008,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,10.4
2009,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,12.3
2010,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,14.6
2011,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,16.8
2012,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,19.0
2013,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,19.9
2014,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,20.4
2015,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,21.5
2016,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,21.7
2017,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,24.0
2018,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,23.4
2019,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,26.2
2020,percentage (%),a) time series,0- to 2-year-olds,hh,,code02,26.4
2006,percentage (%),a) time series,0- to 2-year-olds,he,,code06,2.9
2007,percentage (%),a) time series,0- to 2-year-olds,he,,code06,3.9
2008,percentage (%),a) time series,0- to 2-year-olds,he,,code06,5.1
2009,percentage (%),a) time series,0- to 2-year-olds,he,,code06,6.3
2010,percentage (%),a) time series,0- to 2-year-olds,he,,code06,8.5
2011,percentage (%),a) time series,0- to 2-year-olds,he,,code06,10.0
2012,percentage (%),a) time series,0- to 2-year-olds,he,,code06,11.4
2013,percentage (%),a) time series,0- to 2-year-olds,he,,code06,12.8
2014,percentage (%),a) time series,0- to 2-year-olds,he,,code06,14.8
2015,percentage (%),a) time series,0- to 2-year-olds,he,,code06,16.1
2016,percentage (%),a) time series,0- to 2-year-olds,he,,code06,16.5
2017,percentage (%),a) time series,0- to 2-year-olds,he,,code06,16.6
2018,percentage (%),a) time series,0- to 2-year-olds,he,,code06,16.9
2019,percentage (%),a) time series,0- to 2-year-olds,he,,code06,17.5
2020,percentage (%),a) time series,0- to 2-year-olds,he,,code06,17.9
2006,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,18.1
2007,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,18.7
2008,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,19.7
2009,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,22.1
2010,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,24.0
2011,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,25.1
2012,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,27.9
2013,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,29.9
2014,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,31.5
2015,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,32.7
2016,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,33.3
2017,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,34.3
2018,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,35.6
2019,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,37.4
2020,percentage (%),a) time series,0- to 2-year-olds,mv,,code13,39.4
2006,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,1.3
2007,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,1.6
2008,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,2.1
2009,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,2.9
2010,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,3.8
2011,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,4.8
2012,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,5.9
2013,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,7.1
2014,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,8.7
2015,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,9.3
2016,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,10.0
2017,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,10.4
2018,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,10.9
2019,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,11.7
2020,percentage (%),a) time series,0- to 2-year-olds,ni,,code03,12.1
2006,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,2.4
2007,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,2.7
2008,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,3.6
2009,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,4.7
2010,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,5.5
2011,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,6.1
2012,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,6.9
2013,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,7.6
2014,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,9.0
2015,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,9.7
2016,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,9.8
2017,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,9.7
2018,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,9.9
2019,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,10.3
2020,percentage (%),a) time series,0- to 2-year-olds,nw,,code05,10.6
2006,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,2.6
2007,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,3.2
2008,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,4.0
2009,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,5.2
2010,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,6.9
2011,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,9.2
2012,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,11.7
2013,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,12.7
2014,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,14.2
2015,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,14.9
2016,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,15.3
2017,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,15.7
2018,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,15.8
2019,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,16.2
2020,percentage (%),a) time series,0- to 2-year-olds,rp,,code07,16.3
2006,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,3.8
2007,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,4.5
2008,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,5.8
2009,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,7.4
2010,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,9.5
2011,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,11.5
2012,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,13.5
2013,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,16.2
2014,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,18.7
2015,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,21.5
2016,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,21.9
2017,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,21.7
2018,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,21.9
2019,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,23.1
2020,percentage (%),a) time series,0- to 2-year-olds,sl,,code10,23.3
2006,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,20.1
2007,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,21.2
2008,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,22.6
2009,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,25.7
2010,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,29.0
2011,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,30.3
2012,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,31.9
2013,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,32.6
2014,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,34.8
2015,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,35.8
2016,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,36.4
2017,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,36.7
2018,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,37.4
2019,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,38.7
2020,percentage (%),a) time series,0- to 2-year-olds,sn,,code14,39.4
2006,percentage (%),a) time series,0- to 2-year-olds,st,,code15,26.4
2007,percentage (%),a) time series,0- to 2-year-olds,st,,code15,28.1
2008,percentage (%),a) time series,0- to 2-year-olds,st,,code15,28.5
2009,percentage (%),a) time series,0- to 2-year-olds,st,,code15,31.4
2010,percentage (%),a) time series,0- to 2-year-olds,st,,code15,33.7
2011,percentage (%),a) time series,0- to 2-year-olds,st,,code15,35.0
2012,percentage (%),a) time series,0- to 2-year-olds,st,,code15,36.9
2013,percentage (%),a) time series,0- to 2-year-olds,st,,code15,38.1
2014,percentage (%),a) time series,0- to 2-year-olds,st,,code15,46.0
2015,percentage (%),a) time series,0- to 2-year-olds,st,,code15,45.5
2016,percentage (%),a) time series,0- to 2-year-olds,st,,code15,45.1
2017,percentage (%),a) time series,0- to 2-year-olds,st,,code15,45.4
2018,percentage (%),a) time series,0- to 2-year-olds,st,,code15,45.7
2019,percentage (%),a) time series,0- to 2-year-olds,st,,code15,46.9
2020,percentage (%),a) time series,0- to 2-year-olds,st,,code15,47.3
2006,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,1.7
2007,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,1.9
2008,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,2.4
2009,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,3.0
2010,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,4.2
2011,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,5.8
2012,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,7.1
2013,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,8.4
2014,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,10.0
2015,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,11.6
2016,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,12.0
2017,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,12.0
2018,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,12.9
2019,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,13.2
2020,percentage (%),a) time series,0- to 2-year-olds,sh,,code01,13.6
2006,percentage (%),a) time series,0- to 2-year-olds,th,,code16,30.4
2007,percentage (%),a) time series,0- to 2-year-olds,th,,code16,30.1
2008,percentage (%),a) time series,0- to 2-year-olds,th,,code16,31.3
2009,percentage (%),a) time series,0- to 2-year-olds,th,,code16,35.5
2010,percentage (%),a) time series,0- to 2-year-olds,th,,code16,38.4
2011,percentage (%),a) time series,0- to 2-year-olds,th,,code16,39.7
2012,percentage (%),a) time series,0- to 2-year-olds,th,,code16,41.4
2013,percentage (%),a) time series,0- to 2-year-olds,th,,code16,43.1
2014,percentage (%),a) time series,0- to 2-year-olds,th,,code16,45.5
2015,percentage (%),a) time series,0- to 2-year-olds,th,,code16,45.9
2016,percentage (%),a) time series,0- to 2-year-olds,th,,code16,46.3
2017,percentage (%),a) time series,0- to 2-year-olds,th,,code16,47.7
2018,percentage (%),a) time series,0- to 2-year-olds,th,,code16,49.2
2019,percentage (%),a) time series,0- to 2-year-olds,th,,code16,49.9
2020,percentage (%),a) time series,0- to 2-year-olds,th,,code16,50.3
2012,percentage (%),a) time series,0- to 2-year-olds,bw,"stuttgart, stadt",8111,22.4
2013,percentage (%),a) time series,0- to 2-year-olds,bw,"stuttgart, stadt",8111,24.3
2014,percentage (%),a) time series,0- to 2-year-olds,bw,"stuttgart, stadt",8111,27.5
2015,percentage (%),a) time series,0- to 2-year-olds,bw,"stuttgart, stadt",8111,30.2
2016,percentage (%),a) time series,0- to 2-year-olds,bw,"stuttgart, stadt",8111,30.2
2017,percentage (%),a) time series,0- to 2-year-olds,bw,"stuttgart, stadt",8111,30.8
2018,percentage (%),a) time series,0- to 2-year-olds,bw,"stuttgart, stadt",8111,32.2
2019,percentage (%),a) time series,0- to 2-year-olds,bw,"stuttgart, stadt",8111,37.9
2012,percentage (%),a) time series,0- to 2-year-olds,bw,böblingen,8115,7.5
2013,percentage (%),a) time series,0- to 2-year-olds,bw,böblingen,8115,8.7
2014,percentage (%),a) time series,0- to 2-year-olds,bw,böblingen,8115,9.5
2015,percentage (%),a) time series,0- to 2-year-olds,bw,böblingen,8115,9.3
2016,percentage (%),a) time series,0- to 2-year-olds,bw,böblingen,8115,9.8
2017,percentage (%),a) time series,0- to 2-year-olds,bw,böblingen,8115,10.3
2018,percentage (%),a) time series,0- to 2-year-olds,bw,böblingen,8115,10.2
2019,percentage (%),a) time series,0- to 2-year-olds,bw,böblingen,8115,27.0
2012,percentage (%),a) time series,0- to 2-year-olds,bw,esslingen,8116,6.6
2013,percentage (%),a) time series,0- to 2-year-olds,bw,esslingen,8116,6.7
2014,percentage (%),a) time series,0- to 2-year-olds,bw,esslingen,8116,8.8
2015,percentage (%),a) time series,0- to 2-year-olds,bw,esslingen,8116,10.0
2016,percentage (%),a) time series,0- to 2-year-olds,bw,esslingen,8116,10.8
2017,percentage (%),a) time series,0- to 2-year-olds,bw,esslingen,8116,10.8
2018,percentage (%),a) time series,0- to 2-year-olds,bw,esslingen,8116,11.3
2019,percentage (%),a) time series,0- to 2-year-olds,bw,esslingen,8116,27.9
2012,percentage (%),a) time series,0- to 2-year-olds,bw,göppingen,8117,3.9
2013,percentage (%),a) time series,0- to 2-year-olds,bw,göppingen,8117,5.0
2014,percentage (%),a) time series,0- to 2-year-olds,bw,göppingen,8117,6.2
2015,percentage (%),a) time series,0- to 2-year-olds,bw,göppingen,8117,7.0
2016,percentage (%),a) time series,0- to 2-year-olds,bw,göppingen,8117,6.4
2017,percentage (%),a) time series,0- to 2-year-olds,bw,göppingen,8117,6.4
2018,percentage (%),a) time series,0- to 2-year-olds,bw,göppingen,8117,6.7
2019,percentage (%),a) time series,0- to 2-year-olds,bw,göppingen,8117,22.6
2012,percentage (%),a) time series,0- to 2-year-olds,bw,ludwigsburg,8118,7.8
2013,percentage (%),a) time series,0- to 2-year-olds,bw,ludwigsburg,8118,7.9
2014,percentage (%),a) time series,0- to 2-year-olds,bw,ludwigsburg,8118,10.2
2015,percentage (%),a) time series,0- to 2-year-olds,bw,ludwigsburg,8118,11.6
2016,percentage (%),a) time series,0- to 2-year-olds,bw,ludwigsburg,8118,12.1
2017,percentage (%),a) time series,0- to 2-year-olds,bw,ludwigsburg,8118,11.6
2018,percentage (%),a) time series,0- to 2-year-olds,bw,ludwigsburg,8118,11.9
2019,percentage (%),a) time series,0- to 2-year-olds,bw,ludwigsburg,8118,28.8
2012,percentage (%),a) time series,0- to 2-year-olds,bw,rems-murr-kreis,8119,5.1
2013,percentage (%),a) time series,0- to 2-year-olds,bw,rems-murr-kreis,8119,6.2
2014,percentage (%),a) time series,0- to 2-year-olds,bw,rems-murr-kreis,8119,7.6
2015,percentage (%),a) time series,0- to 2-year-olds,bw,rems-murr-kreis,8119,7.3
2016,percentage (%),a) time series,0- to 2-year-olds,bw,rems-murr-kreis,8119,7.6
2017,percentage (%),a) time series,0- to 2-year-olds,bw,rems-murr-kreis,8119,7.7
2018,percentage (%),a) time series,0- to 2-year-olds,bw,rems-murr-kreis,8119,7.9
2019,percentage (%),a) time series,0- to 2-year-olds,bw,rems-murr-kreis,8119,24.3
2012,percentage (%),a) time series,0- to 2-year-olds,bw,"heilbronn, stadt",8121,7.2
2013,percentage (%),a) time series,0- to 2-year-olds,bw,"heilbronn, stadt",8121,9.6
2014,percentage (%),a) time series,0- to 2-year-olds,bw,"heilbronn, stadt",8121,11.7
2015,percentage (%),a) time series,0- to 2-year-olds,bw,"heilbronn, stadt",8121,12.8
2016,percentage (%),a) time series,0- to 2-year-olds,bw,"heilbronn, stadt",8121,13.9
2017,percentage (%),a) time series,0- to 2-year-olds,bw,"heilbronn, stadt",8121,13.6
2018,percentage (%),a) time series,0- to 2-year-olds,bw,"heilbronn, stadt",8121,14.2
2019,percentage (%),a) time series,0- to 2-year-olds,bw,"heilbronn, stadt",8121,24.3
2012,percentage (%),a) time series,0- to 2-year-olds,bw,heilbronn,8125,6.3
2013,percentage (%),a) time series,0- to 2-year-olds,bw,heilbronn,8125,7.0
2014,percentage (%),a) time series,0- to 2-year-olds,bw,heilbronn,8125,8.3
2015,percentage (%),a) time series,0- to 2-year-olds,bw,heilbronn,8125,7.7
2016,percentage (%),a) time series,0- to 2-year-olds,bw,heilbronn,8125,7.8
2017,percentage (%),a) time series,0- to 2-year-olds,bw,heilbronn,8125,7.7
2018,percentage (%),a) time series,0- to 2-year-olds,bw,heilbronn,8125,8.1
2019,percentage (%),a) time series,0- to 2-year-olds,bw,heilbronn,8125,26.6
2012,percentage (%),a) time series,0- to 2-year-olds,bw,hohenlohekreis,8126,4.9
2013,percentage (%),a) time series,0- to 2-year-olds,bw,hohenlohekreis,8126,5.5
2014,percentage (%),a) time series,0- to 2-year-olds,bw,hohenlohekreis,8126,5.9
2015,percentage (%),a) time series,0- to 2-year-olds,bw,hohenlohekreis,8126,5.8
2016,percentage (%),a) time series,0- to 2-year-olds,bw,hohenlohekreis,8126,5.8
2017,percentage (%),a) time series,0- to 2-year-olds,bw,hohenlohekreis,8126,6.2
2018,percentage (%),a) time series,0- to 2-year-olds,bw,hohenlohekreis,8126,5.5
2019,percentage (%),a) time series,0- to 2-year-olds,bw,hohenlohekreis,8126,24.0
2012,percentage (%),a) time series,0- to 2-year-olds,bw,schwäbisch hall,8127,3.8
2013,percentage (%),a) time series,0- to 2-year-olds,bw,schwäbisch hall,8127,4.5
2014,percentage (%),a) time series,0- to 2-year-olds,bw,schwäbisch hall,8127,5.4
2015,percentage (%),a) time series,0- to 2-year-olds,bw,schwäbisch hall,8127,4.6
2016,percentage (%),a) time series,0- to 2-year-olds,bw,schwäbisch hall,8127,5.3
2017,percentage (%),a) time series,0- to 2-year-olds,bw,schwäbisch hall,8127,5.0
2018,percentage (%),a) time series,0- to 2-year-olds,bw,schwäbisch hall,8127,5.6
2019,percentage (%),a) time series,0- to 2-year-olds,bw,schwäbisch hall,8127,22.3
2012,percentage (%),a) time series,0- to 2-year-olds,bw,main-tauber-kreis,8128,3.0
2013,percentage (%),a) time series,0- to 2-year-olds,bw,main-tauber-kreis,8128,3.9
2014,percentage (%),a) time series,0- to 2-year-olds,bw,main-tauber-kreis,8128,4.4
2015,percentage (%),a) time series,0- to 2-year-olds,bw,main-tauber-kreis,8128,4.3
2016,percentage (%),a) time series,0- to 2-year-olds,bw,main-tauber-kreis,8128,3.8
2017,percentage (%),a) time series,0- to 2-year-olds,bw,main-tauber-kreis,8128,3.8
2018,percentage (%),a) time series,0- to 2-year-olds,bw,main-tauber-kreis,8128,3.6
2019,percentage (%),a) time series,0- to 2-year-olds,bw,main-tauber-kreis,8128,28.0
2012,percentage (%),a) time series,0- to 2-year-olds,bw,heidenheim,8135,3.6
2013,percentage (%),a) time series,0- to 2-year-olds,bw,heidenheim,8135,4.4
2014,percentage (%),a) time series,0- to 2-year-olds,bw,heidenheim,8135,5.6
2015,percentage (%),a) time series,0- to 2-year-olds,bw,heidenheim,8135,6.6
2016,percentage (%),a) time series,0- to 2-year-olds,bw,heidenheim,8135,6.8
2017,percentage (%),a) time series,0- to 2-year-olds,bw,heidenheim,8135,6.9
2018,percentage (%),a) time series,0- to 2-year-olds,bw,heidenheim,8135,6.0
2019,percentage (%),a) time series,0- to 2-year-olds,bw,heidenheim,8135,23.6
2012,percentage (%),a) time series,0- to 2-year-olds,bw,ostalbkreis,8136,3.2
2013,percentage (%),a) time series,0- to 2-year-olds,bw,ostalbkreis,8136,4.0
2014,percentage (%),a) time series,0- to 2-year-olds,bw,ostalbkreis,8136,5.0
2015,percentage (%),a) time series,0- to 2-year-olds,bw,ostalbkreis,8136,5.3
2016,percentage (%),a) time series,0- to 2-year-olds,bw,ostalbkreis,8136,5.1
2017,percentage (%),a) time series,0- to 2-year-olds,bw,ostalbkreis,8136,5.9
2018,percentage (%),a) time series,0- to 2-year-olds,bw,ostalbkreis,8136,5.6
2019,percentage (%),a) time series,0- to 2-year-olds,bw,ostalbkreis,8136,25.0
2012,percentage (%),a) time series,0- to 2-year-olds,bw,"baden-baden, stadt",8211,5.9
2013,percentage (%),a) time series,0- to 2-year-olds,bw,"baden-baden, stadt",8211,8.4
2014,percentage (%),a) time series,0- to 2-year-olds,bw,"baden-baden, stadt",8211,9.9
2015,percentage (%),a) time series,0- to 2-year-olds,bw,"baden-baden, stadt",8211,9.9
2016,percentage (%),a) time series,0- to 2-year-olds,bw,"baden-baden, stadt",8211,13.3
2017,percentage (%),a) time series,0- to 2-year-olds,bw,"baden-baden, stadt",8211,11.1
